ts_event,symbol,open,high,low,close,volume
2016-10-06 00:00:00+00:00,HG.c.1,2150000000.0,2153500000.0,2144499999.9999998,2152000000.0,27
2016-10-06 00:00:00+00:00,ZC.c.0,347250000000.0,347750000000.0,338500000000.0,341000000000.0,157690
2016-10-06 00:00:00+00:00,NG.c.1,3253000000.0,3299000000.0,3196000000.0,3270000000.0,28077
2016-10-06 00:00:00+00:00,CL.c.0,49710000000.0,50630000000.0,49330000000.0,50570000000.0,393582
2016-10-06 00:00:00+00:00,HG.c.0,2147500000.0,2149000000.0,2140000000.0000002,2148500000.0,13
2016-10-06 00:00:00+00:00,ZW.c.1,426500000000.0,429750000000.0,414750000000.0,417250000000.0,7170
2016-10-06 00:00:00+00:00,CL.c.1,50250000000.0,51170000000.0,49870000000.0,51110000000.0,63402
2016-10-07 00:00:00+00:00,ZC.c.1,350500000000.0,354250000000.0,349250000000.0,349750000000.0,14950
2016-10-07 00:00:00+00:00,NG.c.0,3030000000.0,3218000000.0,3015000000.0,3172000000.0,159412
2016-10-07 00:00:00+00:00,GC.c.1,1256500000000.0,1265400000000.0,1242000000000.0,1257000000000.0,691
2016-10-07 00:00:00+00:00,SI.c.1,17325000000.0,17620000000.0,17110000000.0,17445000000.0,69
2016-10-07 00:00:00+00:00,ZC.c.0,340750000000.0,344750000000.0,339500000000.0,339750000000.0,122388
2016-10-07 00:00:00+00:00,ZW.c.0,397750000000.0,401000000000.0,394250000000.0,394250000000.0,42640
2016-10-07 00:00:00+00:00,GC.c.0,1258200000000.0,1263600000000.0,1249500000000.0,1253100000000.0,149
2016-10-07 00:00:00+00:00,SI.c.0,17510000000.0,17520000000.0,17195000000.0,17520000000.0,35
2016-10-07 00:00:00+00:00,HG.c.1,2145000000.0,2175500000.0,2145000000.0,2162000000.0,97
2016-10-07 00:00:00+00:00,NG.c.1,3271000000.0,3409000000.0,3259000000.0,3362000000.0,34625
2016-10-07 00:00:00+00:00,CL.c.0,50560000000.0,50740000000.0,49400000000.0,49550000000.0,421744
2016-10-07 00:00:00+00:00,HG.c.0,2166500000.0,2166500000.0,2156000000.0,2162000000.0,9
2016-10-07 00:00:00+00:00,ZW.c.1,418250000000.0,422000000000.0,414000000000.0,414000000000.0,4785
2016-10-07 00:00:00+00:00,CL.c.1,51120000000.0,51300000000.0,49960000000.0,50150000000.0,62862
2016-10-09 00:00:00+00:00,NG.c.1,3389000000.0,3394000000.0,3358000000.0,3366000000.0,331
2016-10-09 00:00:00+00:00,CL.c.0,49570000000.0,49760000000.0,49150000000.0,49290000000.0,12457
2016-10-09 00:00:00+00:00,NG.c.0,3194000000.0,3196000000.0,3158000000.0,3163000000.0,2379
2016-10-09 00:00:00+00:00,GC.c.1,1257600000000.0,1262100000000.0,1257600000000.0,1260500000000.0,53
2016-10-09 00:00:00+00:00,SI.c.1,17600000000.0,17600000000.0,17600000000.0,17600000000.0,1
2016-10-09 00:00:00+00:00,GC.c.0,1258800000000.0,1259400000000.0,1258800000000.0,1259400000000.0,7
2016-10-09 00:00:00+00:00,CL.c.1,50100000000.0,50320000000.0,49710000000.0,49840000000.0,1813
2016-10-10 00:00:00+00:00,ZC.c.1,349250000000.0,354250000000.0,349000000000.0,353000000000.0,12454
2016-10-10 00:00:00+00:00,SI.c.1,17670000000.0,17780000000.0,17610000000.0,17655000000.0,56
2016-10-10 00:00:00+00:00,GC.c.1,1260400000000.0,1265100000000.0,1257200000000.0,1258700000000.0,496
2016-10-10 00:00:00+00:00,ZW.c.0,396000000000.0,405250000000.0,395750000000.0,404500000000.0,55371
2016-10-10 00:00:00+00:00,GC.c.0,1259400000000.0,1260400000000.0,1256900000000.0,1258900000000.0,18
2016-10-10 00:00:00+00:00,SI.c.0,17685000000.0,17685000000.0,17655000000.0,17655000000.0,2
2016-10-10 00:00:00+00:00,HG.c.1,2175500000.0,2199000000.0,2172500000.0,2192000000.0,45
2016-10-10 00:00:00+00:00,NG.c.1,3364000000.0,3467000000.0,3355000000.0,3448000000.0,34268
2016-10-10 00:00:00+00:00,NG.c.0,3163000000.0,3289000000.0,3154000000.0,3267000000.0,110438
2016-10-10 00:00:00+00:00,CL.c.0,49290000000.0,51600000000.0,49200000000.0,51280000000.0,430858
2016-10-10 00:00:00+00:00,HG.c.0,2172000000.0,2193500000.0,2172000000.0,2188500000.0,40
2016-10-10 00:00:00+00:00,ZW.c.1,415750000000.0,424750000000.0,415750000000.0,424500000000.0,6083
2016-10-10 00:00:00+00:00,ZC.c.0,339500000000.0,344250000000.0,339250000000.0,343000000000.0,87728
2016-10-10 00:00:00+00:00,CL.c.1,49850000000.0,52160000000.0,49770000000.0,51780000000.0,91319
2016-10-11 00:00:00+00:00,ZC.c.1,352750000000.0,356500000000.0,351000000000.0,355000000000.0,15744
2016-10-11 00:00:00+00:00,SI.c.1,17695000000.0,17770000000.0,17445000000.0,17500000000.0,43
2016-10-11 00:00:00+00:00,GC.c.1,1257100000000.0,1262100000000.0,1253000000000.0,1255500000000.0,393
2016-10-11 00:00:00+00:00,ZW.c.0,402750000000.0,408750000000.0,401250000000.0,407000000000.0,43758
2016-10-11 00:00:00+00:00,GC.c.0,1254800000000.0,1254800000000.0,1251700000000.0,1251700000000.0,9
2016-10-11 00:00:00+00:00,SI.c.0,17650000000.0,17650000000.0,17650000000.0,17650000000.0,4
2016-10-11 00:00:00+00:00,HG.c.1,2184000000.0,2184000000.0,2171500000.0,2181000000.0,174
2016-10-11 00:00:00+00:00,NG.c.1,3448000000.0,3478000000.0,3406000000.0,3424000000.0,24374
2016-10-11 00:00:00+00:00,NG.c.0,3266000000.0,3300000000.0,3209000000.0,3230000000.0,102815
2016-10-11 00:00:00+00:00,CL.c.0,51280000000.0,51540000000.0,50390000000.0,50790000000.0,449956
2016-10-11 00:00:00+00:00,HG.c.0,2190500000.0,2190500000.0,2169500000.0,2179500000.0,25
2016-10-11 00:00:00+00:00,ZW.c.1,423000000000.0,426750000000.0,419250000000.0,425000000000.0,5418
2016-10-11 00:00:00+00:00,ZC.c.0,343000000000.0,347000000000.0,341000000000.0,345500000000.0,102280
2016-10-11 00:00:00+00:00,CL.c.1,51790000000.0,52010000000.0,50880000000.0,51220000000.0,87119
2016-10-12 00:00:00+00:00,ZC.c.1,354500000000.0,358000000000.0,346500000000.0,346750000000.0,24232
2016-10-12 00:00:00+00:00,GC.c.1,1254000000000.0,1257500000000.0,1250000000000.0,1255000000000.0,482
2016-10-12 00:00:00+00:00,ZC.c.0,345000000000.0,348500000000.0,336500000000.0,337250000000.0,176417
2016-10-12 00:00:00+00:00,SI.c.1,17495000000.0,17575000000.0,17420000000.0,17530000000.0,46
2016-10-12 00:00:00+00:00,GC.c.0,1253000000000.0,1254000000000.0,1252000000000.0,1253500000000.0,6
2016-10-12 00:00:00+00:00,SI.c.0,17500000000.0,17500000000.0,17500000000.0,17500000000.0,2
2016-10-12 00:00:00+00:00,HG.c.1,2187500000.0,2190000000.0,2173000000.0,2173000000.0,17
2016-10-12 00:00:00+00:00,NG.c.1,3425000000.0,3451000000.0,3387000000.0,3402000000.0,20677
2016-10-12 00:00:00+00:00,NG.c.0,3230000000.0,3260000000.0,3184000000.0,3206000000.0,78405
2016-10-12 00:00:00+00:00,CL.c.0,50790000000.0,51170000000.0,49760000000.0,49880000000.0,354624
2016-10-12 00:00:00+00:00,HG.c.0,2176500000.0,2183000000.0,2168000000.0,2168000000.0,19
2016-10-12 00:00:00+00:00,ZW.c.1,423750000000.0,431750000000.0,415500000000.0,415750000000.0,10515
2016-10-12 00:00:00+00:00,CL.c.1,51230000000.0,51600000000.0,50200000000.0,50310000000.0,75747
2016-10-12 00:00:00+00:00,ZW.c.0,405250000000.0,414000000000.0,396000000000.0,396250000000.0,77959
2016-10-13 00:00:00+00:00,GC.c.1,1254000000000.0,1262000000000.0,1253700000000.0,1258500000000.0,242
2016-10-13 00:00:00+00:00,ZC.c.1,347250000000.0,359750000000.0,347250000000.0,359750000000.0,23369
2016-10-13 00:00:00+00:00,NG.c.0,3206000000.0,3366000000.0,3164000000.0,3349000000.0,150298
2016-10-13 00:00:00+00:00,ZW.c.0,396500000000.0,417000000000.0,396500000000.0,417000000000.0,87168
2016-10-13 00:00:00+00:00,ZC.c.0,337500000000.0,349750000000.0,337250000000.0,349750000000.0,180772
2016-10-13 00:00:00+00:00,SI.c.1,17590000000.0,17620000000.0,17420000000.0,17430000000.0,97
2016-10-13 00:00:00+00:00,GC.c.0,1258700000000.0,1259000000000.0,1255200000000.0,1257400000000.0,24
2016-10-13 00:00:00+00:00,SI.c.0,17440000000.0,17450000000.0,17435000000.0,17450000000.0,9
2016-10-13 00:00:00+00:00,HG.c.1,2130000000.0,2130000000.0,2118500000.0,2119000000.0000002,105
2016-10-13 00:00:00+00:00,NG.c.1,3404000000.0,3548000000.0,3366000000.0,3542000000.0,42106
2016-10-13 00:00:00+00:00,CL.c.0,49870000000.0,50800000000.0,49360000000.0,50600000000.0,446084
2016-10-13 00:00:00+00:00,HG.c.0,2153000000.0,2153000000.0,2113999999.9999998,2117000000.0,40
2016-10-13 00:00:00+00:00,ZW.c.1,415500000000.0,435250000000.0,415500000000.0,435000000000.0,10210
2016-10-13 00:00:00+00:00,CL.c.1,50310000000.0,51140000000.0,49790000000.0,50940000000.0,100534
2016-10-14 00:00:00+00:00,ZC.c.1,359000000000.0,368250000000.0,358750000000.0,363250000000.0,42096
2016-10-14 00:00:00+00:00,NG.c.0,3351000000.0,3362000000.0,3264000000.0,3284000000.0,89974
2016-10-14 00:00:00+00:00,ZW.c.0,415250000000.0,428250000000.0,414750000000.0,420500000000.0,83279
2016-10-14 00:00:00+00:00,GC.c.1,1257900000000.0,1257900000000.0,1246900000000.0,1250100000000.0,313
2016-10-14 00:00:00+00:00,SI.c.1,17485000000.0,17495000000.0,17355000000.0,17450000000.0,12
2016-10-14 00:00:00+00:00,GC.c.0,1253900000000.0,1253900000000.0,1250600000000.0,1251600000000.0,7
2016-10-14 00:00:00+00:00,SI.c.0,17345000000.0,17435000000.0,17330000000.0,17360000000.0,31
2016-10-14 00:00:00+00:00,HG.c.1,2118000000.0,2118000000.0,2100499999.9999998,2100499999.9999998,88
2016-10-14 00:00:00+00:00,ZC.c.0,349500000000.0,358750000000.0,348750000000.0,353500000000.0,211112
2016-10-14 00:00:00+00:00,NG.c.1,3542000000.0,3556000000.0,3486000000.0,3505000000.0,30042
2016-10-14 00:00:00+00:00,CL.c.0,50600000000.0,51140000000.0,49900000000.0,50320000000.0,333070
2016-10-14 00:00:00+00:00,HG.c.0,2119500000.0,2120499999.9999998,2096000000.0,2096000000.0,36
2016-10-14 00:00:00+00:00,ZW.c.1,433750000000.0,445750000000.0,433000000000.0,438500000000.0,13246
2016-10-14 00:00:00+00:00,CL.c.1,50960000000.0,51510000000.0,50300000000.0,50740000000.0,104753
2016-10-16 00:00:00+00:00,NG.c.1,3497000000.0,3497000000.0,3468000000.0,3477000000.0,564
2016-10-16 00:00:00+00:00,CL.c.0,50230000000.0,50260000000.0,50040000000.0,50080000000.0,2433
